game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,black,90,42.8,5.91625,799,0,800
2,black,8,0.5,114.5,1,none,1
3,black,52,10.1,110.35714285714286,27,none,27
4,black,16,1.9,144.9777777777778,44,none,44
5,black,40,4.8,142.5,1,none,1
6,black,48,5.8,115.5,61,none,61
7,black,66,10.6,137.7258064516129,61,none,61
8,black,70,11.4,122.02202643171806,226,none,226
9,black,40,7.0,130.07692307692307,38,none,38
10,black,54,10.1,120.03,199,none,199
