game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,tie,242,400.7,0.0,799.0,-330,800.0
2,tie,232,386.5,0.0,799.0,none,800.0
3,tie,274,481.7,0.0,799.0,-1237,800.0
4,tie,294,471.1,0.0,799.0,-260,800.0
5,white,125,238.0,0.0,799.0,-530,800.0
6,*,300,124.3,0.0,799.0,none,800.0
7,*,300,564.5,0.0,799.0,-146,800.0
8,*,300,543.2,0.0,799.0,-265,800.0
9,*,300,533.5,0.0,799.0,-1686,800.0
10,*,300,125.0,0.0,799.0,1035,800.0
