game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,white,93,181.1,127.73,799,349,800
2,white,91,171.6,2.7125,799,0,800
3,white,53,103.2,141.22,799,-934,800
4,white,31,58.7,137.25125,799,none,800
5,white,35,69.1,142.0275,799,-1378,800
6,white,41,80.1,142.5375,799,-339,800
7,white,47,90.9,123.22125,799,-691,800
8,white,27,49.8,139.845,799,-444,800
9,white,29,56.2,142.09625,799,-1266,800
10,white,37,70.5,135.85625,799,-49,800
