game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,black,64,14.3,112.0,0,none,0
2,black,48,8.0,115.35555555555555,44,none,44
3,black,14,1.5,119.83333333333333,5,none,5
4,black,54,10.2,129.90058479532163,170,none,170
5,black,64,15.9,146.75,3,none,3
6,black,12,1.2,127.57142857142857,13,none,13
7,black,24,2.8,140.1551724137931,57,none,57
8,black,34,3.6,110.8103448275862,57,none,57
9,black,26,2.9,141.68421052631578,37,none,37
10,black,50,6.9,136.01612903225808,61,none,61
