game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,white,61,114.4,136.9,799,-403,800
2,white,15,27.9,141.89,799,605,800
3,white,31,60.2,139.29875,799,-241,800
4,white,101,191.2,10.85375,799,0,800
5,white,57,111.6,136.0725,799,106,800
6,white,91,176.3,133.5,799,-220,800
7,white,41,77.4,138.0275,799,-111,800
8,white,49,93.0,130.77625,799,-1106,800
9,white,65,124.1,138.54375,799,213,800
10,white,51,96.4,138.66875,799,-1371,800
