game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,white,85,14.8,0.0,799,-133,800
2,white,71,19.0,0.0,799,-355,800
3,white,37,7.1,0.0,799,-1934,800
4,white,29,7.7,0.0,799,-976,800
5,white,37,4.3,133.6315789473684,18,none,18
6,white,77,13.3,0.0,799,-123,800
7,white,13,1.4,146.8,14,none,14
8,white,51,8.6,0.0,799,-468,800
9,white,101,28.5,0.0,799,-976,800
10,white,33,4.5,0.0,799,none,800
