game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,black,42,86.2,139.725,799,-174,800
2,black,26,52.4,142.2975,799,528,800
3,black,36,69.7,133.055,799,-1203,800
4,black,50,97.7,137.65875,799,-999,800
5,black,68,133.5,126.30375,799,-169,800
6,black,78,151.6,137.11625,799,-1218,800
7,black,32,62.6,143.13,799,740,800
8,black,50,97.4,125.025,799,-4,800
9,black,26,51.2,143.71375,799,-354,800
10,black,36,70.9,139.64875,799,-213,800
