game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,white,41,14.6,0.0,799,none,800
2,white,37,13.5,0.0,799,none,800
3,white,33,12.4,0.0,799,none,800
4,white,31,11.5,0.0,799,-1495,800
5,white,57,19.5,0.0,799,-1526,800
6,white,39,14.1,0.0,799,none,800
7,white,13,6.8,0.0,799,-1962,800
8,white,29,11.0,0.0,799,-1131,800
9,white,51,17.5,0.0,799,none,800
10,white,49,16.8,0.0,799,-1065,800
