game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,black,26,2.8,139.2,4,none,4
2,black,26,3.6,130.5,1,none,1
3,black,22,8.5,0.0,799,-1041,800
4,black,30,4.1,0.0,799,160,800
5,black,8,0.7,44.0,0,none,0
6,black,62,11.9,0.0,799,-1434,800
7,black,6,0.5,133.54545454545453,10,none,10
8,black,52,29.9,0.0,799,-543,800
9,black,50,16.5,0.0,799,-1383,800
10,black,44,37.4,0.0,799,-456,800
