game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,white,27,30.6,0.0,799,none,800
2,white,59,63.7,0.0,799,none,800
3,white,49,51.7,0.0,799,none,800
4,white,57,60.7,0.0,799,none,800
5,white,13,16.1,0.0,799,none,800
6,white,25,28.4,0.0,799,none,800
7,white,27,26.8,0.0,799,none,800
8,white,55,58.6,0.0,799,-1403,800
9,white,25,28.9,0.0,799,none,800
10,white,53,57.9,0.0,799,-1342,800
