game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,black,52,52.4,0.0,799,none,800
2,black,52,58.7,0.0,799,-1136,800
3,black,34,40.2,0.0,799,none,800
4,black,22,28.9,0.0,799,none,800
5,black,58,61.0,0.0,799,none,800
6,black,48,53.3,0.0,799,none,800
7,black,36,41.0,0.0,799,none,800
8,black,56,60.7,0.0,799,none,800
9,black,28,33.2,0.0,799,none,800
10,black,32,34.1,0.0,799,none,800
