board,turn,move_num,result,result_scaled,result_scaled_tempo
1r2k2r/p1q1npp1/b1p1p3/2PpP1B1/1P5P/5N2/P4P2/1R1QR1K1 w - - 1 22,True,22,1,5.695,5.695
1r2k2r/p1q1npp1/b1p1p3/2PpP1B1/1P1N3P/8/P4P2/1R1QR1K1 b - - 2 22,False,22,1,5.695,5.695
1r2k2r/p1q1npp1/2p1p3/2PpP1B1/1PbN3P/8/P4P2/1R1QR1K1 w - - 3 23,True,23,1,5.695,5.695
1r2k2r/p1q1npp1/2p1p3/2PpP1B1/1PbN2QP/8/P4P2/1R2R1K1 b - - 4 23,False,23,1,5.695,5.695
1r2k2r/p1q1npp1/2p1p3/2PpP1B1/1P1N2QP/3b4/P4P2/1R2R1K1 w - - 5 24,True,24,1,5.695,5.695
1r2k2r/p1q1Bpp1/2p1p3/2PpP3/1P1N2QP/3b4/P4P2/1R2R1K1 b - - 0 24,False,24,1,5.695,5.695
1r5r/p1q1kpp1/2p1p3/2PpP3/1P1N2QP/3b4/P4P2/1R2R1K1 w - - 0 25,True,25,1,5.695,5.695
1r5r/p1q1kpp1/2p1p3/2PpP3/1P1N2QP/1R1b4/P4P2/4R1K1 b - - 1 25,False,25,1,5.695,5.695
1r6/p1q1kpp1/2p1p2r/2PpP3/1P1N2QP/1R1b4/P4P2/4R1K1 w - - 2 26,True,26,1,5.695,5.695
1r6/p1q1kpp1/2p1p2r/2PpP3/1P1N1Q1P/1R1b4/P4P2/4R1K1 b - - 3 26,False,26,1,5.695,5.695
1r6/p1q1kpp1/2p1p2r/2PpP3/1P1NbQ1P/1R6/P4P2/4R1K1 w - - 4 27,True,27,1,5.695,5.695
1r6/p1q1kpp1/2p1p2r/1PPpP3/3NbQ1P/1R6/P4P2/4R1K1 b - - 0 27,False,27,1,5.695,5.695
1r6/p1q1kpp1/4p2r/1pPpP3/3NbQ1P/1R6/P4P2/4R1K1 w - - 0 28,True,28,1,5.695,5.695
1r6/p1q1kpp1/4p2r/1pPpP3/3NbQ1P/6R1/P4P2/4R1K1 b - - 1 28,False,28,1,5.695,5.695
1r3k2/p1q2pp1/4p2r/1pPpP3/3NbQ1P/6R1/P4P2/4R1K1 w - - 2 29,True,29,1,5.695,5.695
1r3k2/p1q2pp1/4p2r/1pPpP3/3NbQ1P/6R1/P4P2/2R3K1 b - - 3 29,False,29,1,5.695,5.695
1r3k2/2q2pp1/p3p2r/1pPpP3/3NbQ1P/6R1/P4P2/2R3K1 w - - 0 30,True,30,1,5.695,5.695
1r3k2/2q2pp1/p3p2r/1pPpP3/3NbQ1P/5PR1/P7/2R3K1 b - - 0 30,False,30,1,5.695,5.695
1r3k2/2q2ppb/p3p2r/1pPpP3/3N1Q1P/5PR1/P7/2R3K1 w - - 1 31,True,31,1,5.695,5.695
1r3k2/2q2ppb/p1P1p2r/1p1pP3/3N1Q1P/5PR1/P7/2R3K1 b - - 0 31,False,31,1,5.695,5.695
4rk2/2q2ppb/p1P1p2r/1p1pP3/3N1Q1P/5PR1/P7/2R3K1 w - - 1 32,True,32,1,5.695,5.695
4rk2/2q2ppb/p1P1p2r/1p1pP1R1/3N1Q1P/5P2/P7/2R3K1 b - - 2 32,False,32,1,5.695,5.695
4r1k1/2q2ppb/p1P1p2r/1p1pP1R1/3N1Q1P/5P2/P7/2R3K1 w - - 3 33,True,33,1,5.695,5.695
4r1k1/2q2ppb/p1P1p2r/1p1pP1R1/3N1Q1P/5P2/P4K2/2R5 b - - 4 33,False,33,1,5.695,5.695
4r1k1/2q2pp1/p1P1p1br/1p1pP1R1/3N1Q1P/5P2/P4K2/2R5 w - - 5 34,True,34,1,5.695,5.695
4r1k1/2q2pp1/p1P1p1br/1p1pP1R1/3N1Q1P/5P2/P4K2/6R1 b - - 6 34,False,34,1,5.695,5.695
4r1k1/5pp1/p1P1p1br/qp1pP1R1/3N1Q1P/5P2/P4K2/6R1 w - - 7 35,True,35,1,5.695,5.695
4r1k1/5pp1/p1P1p1br/qp1pP1RP/3N1Q2/5P2/P4K2/6R1 b - - 0 35,False,35,1,5.695,5.695
4r1k1/5pp1/p1P1p1b1/qp1pP1Rr/3N1Q2/5P2/P4K2/6R1 w - - 0 36,True,36,1,5.695,5.695
4r1k1/5pp1/p1P1p1b1/qp1pP2R/3N1Q2/5P2/P4K2/6R1 b - - 0 36,False,36,1,5.695,5.695
4r1k1/5pp1/p1P1p3/qp1pP2b/3N1Q2/5P2/P4K2/6R1 w - - 0 37,True,37,1,5.695,5.695
4r1k1/5pp1/p1P1p3/qp1pP2b/3N1Q2/5P2/P5K1/6R1 b - - 1 37,False,37,1,5.695,5.695
2r3k1/5pp1/p1P1p3/qp1pP2b/3N1Q2/5P2/P5K1/6R1 w - - 2 38,True,38,1,5.695,5.695
2r3k1/5pp1/p1P1p3/qp1pP2b/3N1Q2/5P2/P5K1/2R5 b - - 3 38,False,38,1,5.695,5.695
2r3k1/5pp1/p1P1p3/1p1pP2b/3N1Q2/5P2/q5K1/2R5 w - - 0 39,True,39,1,5.695,5.695
2r3k1/5pp1/p1P1p3/1p1pP2b/3N1Q2/5PK1/q7/2R5 b - - 1 39,False,39,1,5.695,5.695
2r3k1/5pp1/p1P1p3/1p1pP2b/3N1Q2/5PK1/1q6/2R5 w - - 2 40,True,40,1,5.695,5.695
2r3k1/2P2pp1/p3p3/1p1pP2b/3N1Q2/5PK1/1q6/2R5 b - - 0 40,False,40,1,5.695,5.695
2r3k1/2P2p2/p3p1p1/1p1pP2b/3N1Q2/5PK1/1q6/2R5 w - - 0 41,True,41,1,5.695,5.695
2r3k1/2P2p2/p1N1p1p1/1p1pP2b/5Q2/5PK1/1q6/2R5 b - - 1 41,False,41,1,5.695,5.695
2r3k1/2P2p2/p1N1p1p1/1p1pP3/5Q2/5bK1/1q6/2R5 w - - 0 42,True,42,1,5.695,5.695
2r3k1/2P1Np2/p3p1p1/1p1pP3/5Q2/5bK1/1q6/2R5 b - - 1 42,False,42,1,5.695,5.695
2r2k2/2P1Np2/p3p1p1/1p1pP3/5Q2/5bK1/1q6/2R5 w - - 2 43,True,43,1,5.695,5.695
2r2k2/2P2p2/p3p1N1/1p1pP3/5Q2/5bK1/1q6/2R5 b - - 0 43,False,43,1,5.695,5.695
2r1k3/2P2p2/p3p1N1/1p1pP3/5Q2/5bK1/1q6/2R5 w - - 1 44,True,44,1,5.695,5.695
2r1k3/2P2p2/p3p1N1/1p1pP3/5Q2/5K2/1q6/2R5 b - - 0 44,False,44,1,5.695,5.695
2r1k3/2P2p2/p3p1N1/1p1pP3/5Q2/q4K2/8/2R5 w - - 1 45,True,45,1,5.695,5.695
2r1k3/2P2p2/p3p1N1/1p1pP3/5Q2/q7/4K3/2R5 b - - 2 45,False,45,1,5.695,5.695
2r1k3/2P5/p3p1p1/1p1pP3/5Q2/q7/4K3/2R5 w - - 0 46,True,46,1,5.695,5.695
2r1k3/2P5/p1R1p1p1/1p1pP3/5Q2/q7/4K3/8 b - - 1 46,False,46,1,5.695,5.695
2r1k3/2P5/p1R1p1p1/1p1pP3/5Q2/8/1q2K3/8 w - - 2 47,True,47,1,5.695,5.695
2r1k3/2P5/p1R1p1p1/1p1pP3/5Q2/5K2/1q6/8 b - - 3 47,False,47,1,5.695,5.695
2r1k3/2P5/p1R1p1p1/1p1pP3/5Q2/q4K2/8/8 w - - 4 48,True,48,1,5.695,5.695
2r1k3/2P5/p1R1p1p1/1p1pP3/5Q2/q7/4K3/8 b - - 5 48,False,48,1,5.695,5.695
2r1k3/2P1q3/p1R1p1p1/1p1pP3/5Q2/8/4K3/8 w - - 6 49,True,49,1,5.695,5.695
2r1k3/2P1q3/R3p1p1/1p1pP3/5Q2/8/4K3/8 b - - 0 49,False,49,1,5.695,5.695
4k3/2r1q3/R3p1p1/1p1pP3/5Q2/8/4K3/8 w - - 0 50,True,50,1,5.695,5.695
4k3/2r1q3/R3p1pQ/1p1pP3/8/8/4K3/8 b - - 1 50,False,50,1,5.695,5.695
8/2rkq3/R3p1pQ/1p1pP3/8/8/4K3/8 w - - 2 51,True,51,1,5.695,5.695
7Q/2rkq3/R3p1p1/1p1pP3/8/8/4K3/8 b - - 3 51,False,51,1,5.695,5.695
7Q/3kq3/R1r1p1p1/1p1pP3/8/8/4K3/8 w - - 4 52,True,52,1,5.695,5.695
7Q/R2kq3/2r1p1p1/1p1pP3/8/8/4K3/8 b - - 5 52,False,52,1,5.695,5.695
7Q/R1rkq3/4p1p1/1p1pP3/8/8/4K3/8 w - - 6 53,True,53,1,5.695,5.695
7Q/2rkq3/R3p1p1/1p1pP3/8/8/4K3/8 b - - 7 53,False,53,1,5.695,5.695
7Q/3kq3/R3p1p1/1p1pP3/8/8/2r1K3/8 w - - 8 54,True,54,1,5.695,5.695
7Q/3kq3/R3p1p1/1p1pP3/8/3K4/2r5/8 b - - 9 54,False,54,1,5.695,5.695
7Q/3kq3/R3p1p1/1p1pP3/8/2rK4/8/8 w - - 10 55,True,55,1,5.695,5.695
7Q/3kq3/R3p1p1/1p1pP3/8/2K5/8/8 b - - 0 55,False,55,1,5.695,5.695
7Q/3k4/R3p1p1/1pqpP3/8/2K5/8/8 w - - 1 56,True,56,1,5.695,5.695
7Q/3k4/R3p1p1/1pqpP3/8/8/3K4/8 b - - 2 56,False,56,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/3q4/8/3K4/8 w - - 3 57,True,57,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/3q4/8/8/2K5 b - - 4 57,False,57,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/2q5/8/8/2K5 w - - 5 58,True,58,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/2q5/8/8/3K4 b - - 6 58,False,58,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/1q6/8/3K4 w - - 7 59,True,59,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/1q6/3K4/8 b - - 8 59,False,59,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/1q6/8/3K4/8 w - - 9 60,True,60,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/1q6/8/8/2K5 b - - 10 60,False,60,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/8/8/2K1q3 w - - 11 61,True,61,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/8/2K5/4q3 b - - 12 61,False,61,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/8/2K1q3/8 w - - 13 62,True,62,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/1K6/4q3/8 b - - 14 62,False,62,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/1K1q4/8/8 w - - 15 63,True,63,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/3q4/K7/8 b - - 16 63,False,63,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/8/K3q3/8 w - - 17 64,True,64,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/8/4q3/K7 b - - 18 64,False,64,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/8/8/K2q4 w - - 19 65,True,65,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/8/K7/3q4 b - - 20 65,False,65,1,5.695,5.695
7Q/3k4/R3p1p1/1p1pP3/8/8/K1q5/8 w - - 21 66,True,66,1,5.695,5.695
