Feature,Correlation
abal,-0.154
bbp,0.065
bknrkss,0.03
catk,0.108
cpwn,0.084
dbal,-0.095
dpwn,-0.065
hogf,0.069
krep,0.164
mb,-0.064
mk,-0.052
mp,0.144
mq,-0.078
mr,-0.082
mba,-0.026
msba,-0.127
outp,0.023
ppwn,0.104
pwns,0.085
pss,0.119
pocc,0.065
qss,-0.025
tbal,0.004
