board,turn,move_num,result,material_balance_pawn,material_balance_knight,material_balance_bishop,material_balance_rook,material_balance_queen,mobility_pawn,mobility_knight,mobility_bishop,mobility_rook,mobility_queen,mobility_king
r2qknnr/3bppb1/1pp3pp/p2pP3/3P1P1N/2P1B3/PP1QB1PP/R1N2RK1 b kq - 0 17,0,17,0,0,0,0,0,0,-2,-2,-2,0,-1,-2
r2qknnr/3bppb1/1pp3p1/p2pP2p/3P1P1N/2P1B3/PP1QB1PP/R1N2RK1 w kq - 0 18,1,18,2,0,0,0,0,0,3,1,1,-1,1,2
r2qknnr/3bppb1/1pp3p1/p2pPP1p/3P3N/2P1B3/PP1QB1PP/R1N2RK1 b kq - 0 18,0,18,0,0,0,0,0,0,-4,0,-6,0,-1,-2
r2qknnr/4ppb1/1pp3p1/p2pPb1p/3P3N/2P1B3/PP1QB1PP/R1N2RK1 w kq - 0 19,1,19,2,-1,0,0,0,0,3,0,0,1,-1,1
r2qknnr/4ppb1/1pp3p1/p2pPN1p/3P4/2P1B3/PP1QB1PP/R1N2RK1 b kq - 0 19,0,19,0,1,0,-3,0,0,-2,-3,-9,0,1,-1
r2qknnr/4ppb1/1pp5/p2pPp1p/3P4/2P1B3/PP1QB1PP/R1N2RK1 w kq - 0 20,1,20,2,-1,-3,3,0,0,3,-4,9,1,-1,1
r2qknnr/4ppb1/1pp5/p2pPp1p/3P4/2PBB3/PP1Q2PP/R1N2RK1 b kq - 1 20,0,20,0,1,3,-3,0,0,-3,4,-9,-1,0,-1
r2qkn1r/4ppb1/1pp4n/p2pPp1p/3P4/2PBB3/PP1Q2PP/R1N2RK1 w kq - 2 21,1,21,2,-1,-3,3,0,0,3,-4,10,1,0,1
r2qkn1r/4ppb1/1pp4n/p2pPB1p/3P4/2P1B3/PP1Q2PP/R1N2RK1 b kq - 0 21,0,21,0,0,3,-3,0,0,-4,4,-13,0,-1,-2
r2qkn1r/4ppb1/1p5n/p1ppPB1p/3P4/2P1B3/PP1Q2PP/R1N2RK1 w kq - 0 22,1,22,2,0,-3,3,0,0,4,-4,13,0,1,2
r2qkn1r/4ppb1/1p5n/p1ppPB1p/3P4/2P1B3/PP1QN1PP/R4RK1 b kq - 1 22,0,22,0,0,3,-3,0,0,-4,4,-13,-5,0,-2
r2qkn1r/4ppb1/1p5n/p2pPB1p/3p4/2P1B3/PP1QN1PP/R4RK1 w kq - 0 23,1,23,2,-1,-3,3,0,0,3,-3,14,5,1,2
r2qkn1r/4ppb1/1p5n/p2pPB1p/3N4/2P1B3/PP1Q2PP/R4RK1 b kq - 0 23,0,23,0,0,3,-3,0,0,-5,0,-13,-5,-2,-2
r2qkn1r/4ppb1/1p6/p2pPB1p/3N2n1/2P1B3/PP1Q2PP/R4RK1 w kq - 1 24,1,24,2,0,-3,3,0,0,4,-3,11,4,2,1
r2qkn1r/4ppb1/1pN5/p2pPB1p/6n1/2P1B3/PP1Q2PP/R4RK1 b kq - 2 24,0,24,0,0,3,-3,0,0,-3,3,-14,-4,-4,-1
r2qkn1r/5pb1/1pN1p3/p2pPB1p/6n1/2P1B3/PP1Q2PP/R4RK1 w kq - 0 25,1,25,2,0,-3,3,0,0,2,-2,12,4,0,0
r2Nkn1r/5pb1/1p2p3/p2pPB1p/6n1/2P1B3/PP1Q2PP/R4RK1 b kq - 0 25,0,25,0,0,3,-3,0,-9,-2,5,-12,-3,-9,2
r2Nkn1r/5pb1/1p2p3/p2pPB1p/8/2P1B3/PP1Q2Pn/R4RK1 w kq - 0 26,1,26,2,-1,-3,3,0,9,1,-2,13,3,9,0
r2Nkn1r/5pb1/1p2p3/p2pP2p/8/2P1B3/PPBQ2Pn/R4RK1 b kq - 1 26,0,26,0,1,3,-3,0,-9,-1,2,-13,-6,-8,0
r2Nkn1r/5pb1/1p2p3/p2pP2p/8/2P1B3/PPBQ2P1/R4nK1 w kq - 0 27,1,27,2,-1,-3,3,-5,9,1,-3,13,-3,8,0
r2Nkn1r/5pb1/1p2p3/p2pP2p/8/2P1B3/PPBQ2P1/R4K2 b kq - 0 27,0,27,0,1,0,-3,5,-9,-1,-1,-14,4,-8,-1
r2Nkn1r/5p2/1p2p3/p2pb2p/8/2P1B3/PPBQ2P1/R4K2 w kq - 0 28,1,28,2,-2,0,3,-5,9,1,1,7,-4,8,1
r2Nkn1r/5p2/1p2p3/p2pb2p/8/1BP1B3/PP1Q2P1/R4K2 b kq - 1 28,0,28,0,2,0,-3,5,-9,1,-1,-3,4,-9,-1
r2Nkn1r/5p2/1p2p3/3pb2p/p7/1BP1B3/PP1Q2P1/R4K2 w kq - 0 29,1,29,2,-2,0,3,-5,9,-3,1,3,-5,9,1
r3kn1r/5p2/1pN1p3/3pb2p/p7/1BP1B3/PP1Q2P1/R4K2 b kq - 1 29,0,29,0,2,0,-3,5,-9,3,-5,-3,5,-9,-3
r3kn1r/5p2/1pN1p3/3p3p/p7/1BP1B1b1/PP1Q2P1/R4K2 w kq - 2 30,1,30,2,-2,0,3,-5,9,-6,5,4,-5,9,1
r3kn1r/5p2/1p2p3/3p3p/p2N4/1BP1B1b1/PP1Q2P1/R4K2 b kq - 3 30,0,30,0,2,0,-3,5,-9,5,-4,-1,5,-7,2
r3k2r/3n1p2/1p2p3/3p3p/p2N4/1BP1B1b1/PP1Q2P1/R4K2 w kq - 4 31,1,31,2,-2,0,3,-5,9,-5,2,1,-6,7,-3
r3k2r/3n1p2/1p2p3/3p3p/p2N4/PBP1B1b1/1P1Q2P1/R4K2 b kq - 0 31,0,31,0,2,0,-3,5,-9,5,-2,-2,5,-7,3
r3k2r/3n1p2/1p2p3/3p4/p2N3p/PBP1B1b1/1P1Q2P1/R4K2 w kq - 0 32,1,32,2,-2,0,3,-5,9,-5,2,3,-6,7,-3
r3k2r/3n1p2/1p2p3/3B4/p2N3p/P1P1B1b1/1P1Q2P1/R4K2 b kq - 0 32,0,32,0,1,0,-3,5,-9,3,-3,-6,6,-7,3
r3k2r/3n1p2/1p2p3/3B4/p2N4/P1P1B1bp/1P1Q2P1/R4K2 w kq - 0 33,1,33,2,-1,0,3,-5,9,-3,3,5,-7,7,-3
B3k2r/3n1p2/1p2p3/8/p2N4/P1P1B1bp/1P1Q2P1/R4K2 b k - 0 33,0,33,0,1,0,-3,0,-9,2,-3,-1,1,-7,2
B3k3/3n1p2/1p2p3/7r/p2N4/P1P1B1bp/1P1Q2P1/R4K2 w - - 1 34,1,34,2,-1,0,3,0,9,-2,3,1,-6,7,-1
B3k3/3n1p2/1p2p3/7r/p2N4/P1P1B1bp/1P1QK1P1/R7 b - - 2 34,0,34,0,1,0,-3,0,-9,2,-2,-1,3,-5,-1
