board,turn,move_num,result,material_balance_pawn,material_balance_knight,material_balance_bishop,material_balance_rook,material_balance_queen,mobility_pawn,mobility_knight,mobility_bishop,mobility_rook,mobility_queen,mobility_king
4rk2/5p2/1pp1r1p1/p2pn2p/P6P/1PN3P1/1Bn1B3/3R1R1K b - - 1 37,0,37,1,3,3,-6,0,0,4,6,-10,-8,0,0
4rk2/5p2/1pp1r1p1/p3n2p/P2p3P/1PN3P1/1Bn1B3/3R1R1K w - - 0 38,1,38,1,-3,-3,6,0,0,-5,-5,10,7,0,0
4rk2/5p2/1pp1r1p1/p3n2p/P2p3P/1PN3P1/1BnRB3/5R1K b - - 1 38,0,38,1,3,3,-6,0,0,5,4,-11,-8,0,0
4rk2/5p2/1pp1r1p1/p3n2p/P2p3P/1PN1n1P1/1B1RB3/5R1K w - - 2 39,1,39,1,-3,-3,6,0,0,-5,-7,11,8,0,-1
4rk2/5p2/1pp1r1p1/p3n2p/P2R3P/1PN1n1P1/1B2B3/5R1K b - - 0 39,0,39,1,2,3,-6,0,0,3,7,-11,-16,0,1
4rk2/5p2/1pp1r1p1/p3nn1p/P2R3P/1PN3P1/1B2B3/5R1K w - - 1 40,1,40,1,-2,-3,6,0,0,-2,-7,11,14,0,0
4rk2/5p2/1pp1r1p1/p3nR1p/P2R3P/1PN3P1/1B2B3/7K b - - 0 40,0,40,1,2,0,-6,0,0,3,-1,-12,-13,0,0
4rk2/5p2/1pp1r3/p3np1p/P2R3P/1PN3P1/1B2B3/7K w - - 0 41,1,41,1,-2,0,6,-5,0,-2,0,12,2,0,0
4rk2/5p2/1pp1r3/p3np1B/P2R3P/1PN3P1/1B6/7K b - - 0 41,0,41,1,1,0,-6,5,0,2,-1,-9,-2,0,0
4rk2/5p2/1pp1r3/p4p1B/P2R2nP/1PN3P1/1B6/7K w - - 1 42,1,42,1,-1,0,6,-5,0,-3,1,6,-3,0,-1
4rk2/3R1p2/1pp1r3/p4p1B/P5nP/1PN3P1/1B6/7K b - - 2 42,0,42,1,1,0,-6,5,0,3,-1,-6,3,0,0
4rk2/3Rrp2/1pp5/p4p1B/P5nP/1PN3P1/1B6/7K w - - 3 43,1,43,1,-1,0,6,-5,0,-3,1,6,0,0,0
4rk2/4rp2/1pp5/p4p1B/P5nP/1PN3P1/1B1R4/7K b - - 4 43,0,43,1,1,0,-6,5,0,3,-1,-6,2,0,0
4r1k1/4rp2/1pp5/p4p1B/P5nP/1PN3P1/1B1R4/7K w - - 5 44,1,44,1,-1,0,6,-5,0,-3,1,6,-3,0,-2
4r1k1/4rp2/1ppR4/p4p1B/P5nP/1PN3P1/1B6/7K b - - 6 44,0,44,1,1,0,-6,5,0,3,-1,-6,3,0,2
4r1k1/5p2/1ppRr3/p4p1B/P5nP/1PN3P1/1B6/7K w - - 7 45,1,45,1,-1,0,6,-5,0,-3,1,6,-7,0,-2
4r1k1/5p2/1pp1r3/p4p1B/P2R2nP/1PN3P1/1B6/7K b - - 8 45,0,45,1,1,0,-6,5,0,3,-1,-6,4,0,2
4r1k1/5p2/2p1r3/pp3p1B/P2R2nP/1PN3P1/1B6/7K w - - 0 46,1,46,1,-1,0,6,-5,0,-3,1,6,-4,0,-2
4r1k1/5p2/2p1r3/pp3p1B/P2R2nP/1PN3P1/1B4K1/8 b - - 1 46,0,46,1,1,0,-6,5,0,3,-1,-6,4,0,-1
4r1k1/5p2/2p1r3/p4p1B/Pp1R2nP/1PN3P1/1B4K1/8 w - - 0 47,1,47,1,-1,0,6,-5,0,-4,1,6,-4,0,1
4r1k1/5p2/2p1r3/p4p2/Pp1R2BP/1PN3P1/1B4K1/8 b - - 0 47,0,47,1,1,-3,-6,5,0,4,-7,-9,5,0,-3
4r1k1/5p2/2p5/p4p2/Pp1R2BP/1PN3P1/1B4K1/4r3 w - - 1 48,1,48,1,-1,3,6,-5,0,-4,7,9,-13,0,0
4r1k1/5p2/2p5/p4p1B/Pp1R3P/1PN3P1/1B4K1/4r3 b - - 2 48,0,48,1,1,-3,-6,5,0,3,-7,-9,12,0,0
4r1k1/4rp2/2p5/p4p1B/Pp1R3P/1PN3P1/1B4K1/8 w - - 3 49,1,49,1,-1,3,6,-5,0,-3,7,9,-3,0,3
4r1k1/4rp2/2p5/p4p2/Pp1R3P/1PN2BP1/1B4K1/8 b - - 4 49,0,49,1,1,-3,-6,5,0,2,-7,-10,3,0,-2
4r1k1/4rp2/2p5/p7/Pp1R1p1P/1PN2BP1/1B4K1/8 w - - 0 50,1,50,1,-1,3,6,-5,0,-2,7,10,-4,0,2
4r1k1/4rp2/2p5/p7/Pp3R1P/1PN2BP1/1B4K1/8 b - - 0 50,0,50,1,0,-3,-6,5,0,2,-7,-10,7,0,-2
4r1k1/5p2/2p5/p7/Pp3R1P/1PN1rBP1/1B4K1/8 w - - 1 51,1,51,1,0,3,6,-5,0,-2,7,10,-10,0,2
4r1k1/5p2/2p5/p7/Pp2NR1P/1P2rBP1/1B4K1/8 b - - 2 51,0,51,1,0,-3,-6,5,0,1,-7,-13,12,0,-4
3r2k1/5p2/2p5/p7/Pp2NR1P/1P2rBP1/1B4K1/8 w - - 3 52,1,52,1,0,3,6,-5,0,-1,7,13,-15,0,4
3r2k1/5p2/2p5/p7/Pp2NR1P/1P2rBPK/1B6/8 b - - 4 52,0,52,1,0,-3,-6,5,0,1,-7,-15,15,0,-1
3r2k1/5p2/2p5/p7/Pp2NR1P/1r3BPK/1B6/8 w - - 0 53,1,53,1,-1,3,6,-5,0,-1,7,15,-14,0,1
3r2k1/5p2/2p5/p3B3/Pp2NR1P/1r3BPK/8/8 b - - 1 53,0,53,1,1,-3,-6,5,0,1,-7,-16,15,0,-1
3r2k1/5p2/8/p1p1B3/Pp2NR1P/1r3BPK/8/8 w - - 0 54,1,54,1,-1,3,6,-5,0,-1,7,16,-15,0,1
3r2k1/5p2/5N2/p1p1B3/Pp3R1P/1r3BPK/8/8 b - - 1 54,0,54,1,1,-3,-6,5,0,-2,-8,-18,-6,0,0
3r3k/5p2/5N2/p1p1B3/Pp3R1P/1r3BPK/8/8 w - - 2 55,1,55,1,-1,3,6,-5,0,1,8,18,-14,0,2
3r3k/5p2/5N2/p1p1B3/Pp2BR1P/1r4PK/8/8 b - - 3 55,0,55,1,1,-3,-6,5,0,0,-7,-20,16,0,-2
3r3k/5p2/5N2/p1p1B3/Pp2BR1P/2r3PK/8/8 w - - 4 56,1,56,1,-1,3,6,-5,0,-1,7,18,-17,0,2
3r3k/5p2/5N2/p1p1BR2/Pp2B2P/2r3PK/8/8 b - - 5 56,0,56,1,1,-3,-6,5,0,1,-7,-16,16,0,-2
3r3k/5p2/5N2/p1p1BR2/Ppr1B2P/6PK/8/8 w - - 6 57,1,57,1,-1,3,6,-5,0,1,7,18,-12,0,2
3rN2k/5p2/8/p1p1BR2/Ppr1B2P/6PK/8/8 b - - 7 57,0,57,1,1,-3,-6,5,0,-1,-4,-21,-8,0,-1
3rN1k1/5p2/8/p1p1BR2/Ppr1B2P/6PK/8/8 w - - 8 58,1,58,1,-1,3,6,-5,0,0,4,21,-8,0,1
3rN1k1/5p2/2B5/p1p1BR2/Ppr4P/6PK/8/8 b - - 9 58,0,58,1,1,-3,-6,5,0,0,-4,-20,11,0,0
3rNk2/5p2/2B5/p1p1BR2/Ppr4P/6PK/8/8 w - - 10 59,1,59,1,-1,3,6,-5,0,0,4,20,-11,0,0
3rNk2/5p2/8/pBp1BR2/Ppr4P/6PK/8/8 b - - 11 59,0,59,1,1,-3,-6,5,0,0,-4,-15,11,0,0
3rNk2/5p2/8/pBp1BR2/Pp5P/6PK/2r5/8 w - - 12 60,1,60,1,-1,3,6,-5,0,-1,4,18,-13,0,-1
3r1k2/5p2/5N2/pBp1BR2/Pp5P/6PK/2r5/8 b - - 13 60,0,60,1,1,-3,-6,5,0,0,-8,-16,15,0,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0,1,2,0,0,0,0,0,1,-1,-5,0,-4,-1
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
rnbqkbnr/pppp1ppp/4p3/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,0,2,2,0,0,0,0,0,2,-3,0,-1,0,0
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,1,3,0,0,0,0,0,0,-1,3,3,1,-3,0
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,0,3,2,0,0,0,0,0,3,-5,-3,-2,6,0
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 2 4,1,4,0,0,0,0,0,0,-3,1,3,1,-6,0
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/2N2N1P/PPPP1PP1/R1BQKB1R b KQkq - 0 4,0,4,2,0,0,0,0,0,4,-2,-3,-2,6,0
r1bqk1nr/pp1pbppp/2n1p3/2p5/4P3/2N2N1P/PPPP1PP1/R1BQKB1R w KQkq - 1 5,1,5,0,0,0,0,0,0,-4,4,0,2,-2,0
r1bqk1nr/pp1pbppp/2n1p3/2p5/2B1P3/2N2N1P/PPPP1PP1/R1BQK2R b KQkq - 2 5,0,5,2,0,0,0,0,0,3,-4,-3,-3,2,-2
r1bqk1nr/1p1pbppp/p1n1p3/2p5/2B1P3/2N2N1P/PPPP1PP1/R1BQK2R w KQkq - 0 6,1,6,0,0,0,0,0,0,-2,3,3,2,-2,2
r1bqk1nr/1p1pbppp/p1n1p3/2p5/2B1P3/P1N2N1P/1PPP1PP1/R1BQK2R b KQkq - 0 6,0,6,2,0,0,0,0,0,3,-4,-4,-3,2,-2
r1bqk2r/1p1pbppp/p1n1pn2/2p5/2B1P3/P1N2N1P/1PPP1PP1/R1BQK2R w KQkq - 1 7,1,7,0,0,0,0,0,0,-1,1,7,1,-2,1
r1bqk2r/1p1pbppp/p1n1pn2/2p5/4P3/PBN2N1P/1PPP1PP1/R1BQK2R b KQkq - 2 7,0,7,2,0,0,0,0,0,4,-1,-3,-1,2,-1
r1bqk2r/1p1pbppp/p3pn2/2p5/3nP3/PBN2N1P/1PPP1PP1/R1BQK2R w KQkq - 3 8,1,8,0,0,0,0,0,0,-5,0,3,1,-2,0
r1bqk2r/1p1pbppp/p3pn2/2p5/3nP3/PBNP1N1P/1PP2PP1/R1BQK2R b KQkq - 0 8,0,8,2,0,0,0,0,0,6,-1,-8,-1,1,-1
r1bqk2r/1p2bppp/p2ppn2/2p5/3nP3/PBNP1N1P/1PP2PP1/R1BQK2R w KQkq - 0 9,1,9,0,0,0,0,0,0,-5,0,8,1,-2,0
r1bqk2r/1p2bppp/p2ppn2/2p5/3nP3/PBNP1N1P/1PP2PP1/R1BQ1RK1 b kq - 1 9,0,9,2,0,0,0,0,0,5,0,-8,1,1,1
r2qk2r/1p1bbppp/p2ppn2/2p5/3nP3/PBNP1N1P/1PP2PP1/R1BQ1RK1 w kq - 2 10,1,10,0,0,0,0,0,0,-5,1,5,-2,-2,0
r2qk2r/1p1bbppp/p2ppn2/2p5/3nP3/PBNP1N1P/1PP2PP1/R1BQR1K1 b kq - 3 10,0,10,2,0,0,0,0,0,5,0,-5,0,3,-1
r2q1rk1/1p1bbppp/p2ppn2/2p5/3nP3/PBNP1N1P/1PP2PP1/R1BQR1K1 w - - 4 11,1,11,0,0,0,0,0,0,-5,0,5,1,-4,2
r2q1rk1/1p1bbppp/p2ppn2/2p5/3nPB2/PBNP1N1P/1PP2PP1/R2QR1K1 b - - 5 11,0,11,2,0,0,0,0,0,5,0,-9,-2,2,-2
r2q1rk1/1p1bbppp/p2pp3/2p4n/3nPB2/PBNP1N1P/1PP2PP1/R2QR1K1 w - - 6 12,1,12,0,0,0,0,0,0,-6,2,6,2,-2,2
r2q1rk1/1p1bbppp/p2pp3/2p4n/3nP3/PBNP1N1P/1PPB1PP1/R2QR1K1 b - - 7 12,0,12,2,0,0,0,0,0,6,-1,-2,-2,3,-2
r2q1rk1/1p1bbppp/p2ppn2/2p5/3nP3/PBNP1N1P/1PPB1PP1/R2QR1K1 w - - 8 13,1,13,0,0,0,0,0,0,-5,-1,5,2,-3,2
r2q1rk1/1p1bbppp/p2ppn2/2p5/3NP3/PBNP3P/1PPB1PP1/R2QR1K1 b - - 0 13,0,13,2,0,-3,0,0,0,4,-7,-5,-2,0,-2
r2q1rk1/1p1bbppp/p2ppn2/8/3pP3/PBNP3P/1PPB1PP1/R2QR1K1 w - - 0 14,1,14,0,0,0,0,0,0,-3,1,5,2,0,2
r2q1rk1/1p1bbppp/p2ppn2/8/3pP3/PB1P3P/NPPB1PP1/R2QR1K1 b - - 1 14,0,14,2,0,0,0,0,0,0,2,-7,-1,0,-2
r2q1rk1/1p1bbppp/3ppn2/p7/3pP3/PB1P3P/NPPB1PP1/R2QR1K1 w - - 0 15,1,15,0,0,0,0,0,0,0,-2,7,0,1,2
r2q1rk1/1p1bbppp/3ppn2/p7/P2pP3/1B1P3P/NPPB1PP1/R2QR1K1 b - - 0 15,0,15,2,0,0,0,0,0,0,2,-6,0,-1,-2
r2q1rk1/1p1bbpp1/3ppn1p/p7/P2pP3/1B1P3P/NPPB1PP1/R2QR1K1 w - - 0 16,1,16,0,0,0,0,0,0,1,-3,6,0,1,1
r2q1rk1/1p1bbpp1/3ppn1p/p7/P2pP3/1B1P3P/NPPBRPP1/R2Q2K1 b - - 1 16,0,16,2,0,0,0,0,0,-1,3,-7,1,1,-1
r2q1rk1/3bbpp1/3ppn1p/pp6/P2pP3/1B1P3P/NPPBRPP1/R2Q2K1 w - - 0 17,1,17,0,0,0,0,0,0,2,-3,9,-1,-1,1
r2q1rk1/3bbpp1/3ppn1p/pp6/P1PpP3/1B1P3P/NP1BRPP1/R2Q2K1 b - c3 0 17,0,17,2,0,0,0,0,0,0,3,-7,1,0,-1
r2q1rk1/3bbpp1/3ppn1p/p7/PpPpP3/1B1P3P/NP1BRPP1/R2Q2K1 w - - 0 18,1,18,0,0,0,0,0,0,2,-3,4,-1,0,1
r2q1rk1/3bbpp1/3ppn1p/p7/PpPpP3/1B1P3P/NP1B1PP1/R2QR1K1 b - - 1 18,0,18,2,0,0,0,0,0,-2,3,-3,0,-2,-1
r2q1r1k/3bbpp1/3ppn1p/p7/PpPpP3/1B1P3P/NP1B1PP1/R2QR1K1 w - - 2 19,1,19,0,0,0,0,0,0,2,-4,3,-1,2,1
r2q1r1k/3bbpp1/3ppn1p/p7/PpPpPP2/1B1P3P/NP1B2P1/R2QR1K1 b - - 0 19,0,19,2,0,0,0,0,0,-1,4,0,1,-2,-2
r2q1r1k/4bpp1/2bppn1p/p7/PpPpPP2/1B1P3P/NP1B2P1/R2QR1K1 w - - 1 20,1,20,0,0,0,0,0,0,1,-5,-2,-1,1,2
r2q1r1k/4bpp1/2bppn1p/p7/PpPpPP2/1B1P3P/NP1B2PK/R2QR3 b - - 2 20,0,20,2,0,0,0,0,0,-1,5,2,-1,-1,-1
r2q1r1k/4bpp1/2bp1n1p/p3p3/PpPpPP2/1B1P3P/NP1B2PK/R2QR3 w - - 0 21,1,21,0,0,0,0,0,0,1,-5,-2,1,1,1
r2q1r1k/4bpp1/2bp1n1p/p3p3/PpPpPP2/1B1P3P/1P1B2PK/R1NQR3 b - - 1 21,0,21,2,0,0,0,0,0,-1,6,2,-2,1,-1
r2q1r1k/3nbpp1/2bp3p/p3p3/PpPpPP2/1B1P3P/1P1B2PK/R1NQR3 w - - 2 22,1,22,0,0,0,0,0,0,-1,-2,-3,2,0,1
r2q1r1k/3nbpp1/2bp3p/p3p3/PpPpPP2/1B1P3P/1P1BN1PK/R2QR3 b - - 3 22,0,22,2,0,0,0,0,0,1,-1,2,-1,2,-1
r2q1r1k/4bpp1/2bp3p/p1n1p3/PpPpPP2/1B1P3P/1P1BN1PK/R2QR3 w - - 4 23,1,23,0,0,0,0,0,0,-2,-3,-4,1,-3,1
r2q1r1k/4bpp1/2bp3p/p1n1pP2/PpPpP3/1B1P3P/1P1BN1PK/R2QR3 b - - 0 23,0,23,2,0,0,0,0,0,1,2,1,-1,3,-1
r2q1r1k/4bpp1/2bp3p/p3pP2/PpPpP3/1B1n3P/1P1BN1PK/R2QR3 w - - 0 24,1,24,0,-1,0,0,0,0,0,0,-1,1,-3,1
r2q1r1k/4bpp1/2bp3p/p3pP2/PpPpP3/1B1n3P/1P2N1PK/R1BQR3 b - - 1 24,0,24,2,1,0,0,0,0,0,1,3,0,3,-1
r2q1r1k/4bpp1/2bp3p/p3pP2/PpPpP3/1B5P/1P2NnPK/R1BQR3 w - - 2 25,1,25,0,-1,0,0,0,0,-1,-1,-3,0,-2,0
r2q1r1k/4bpp1/2bp3p/p3pP2/PpPNP3/1B5P/1P3nPK/R1BQR3 b - - 0 25,0,25,2,0,0,0,0,0,1,0,3,-2,-1,0
r2q1r1k/4bpp1/2bp3p/p4P2/PpPpP3/1B5P/1P3nPK/R1BQR3 w - - 0 26,1,26,0,0,-3,0,0,0,0,-6,-3,2,2,0
r2q1r1k/4bpp1/2bp3p/p4P2/PpPpP3/1B5P/1PQ2nPK/R1B1R3 b - - 1 26,0,26,2,0,3,0,0,0,0,6,4,-3,-1,0
r2q1r1k/4bpp1/2bp3p/p4P2/PpPpn3/1B5P/1PQ3PK/R1B1R3 w - - 0 27,1,27,0,-1,-3,0,0,0,-1,-7,-3,4,2,0
r2q1r1k/4bpp1/2bp3p/p4P2/PpPpR3/1B5P/1PQ3PK/R1B5 b - - 0 27,0,27,2,1,0,0,0,0,1,0,4,-7,-1,-1
r2q1r1k/4bpp1/3p3p/p4P2/PpPpb3/1B5P/1PQ3PK/R1B5 w - - 0 28,1,28,0,-1,0,0,-5,0,-1,0,-5,-3,2,1
r2q1r1k/4bpp1/3p1P1p/p7/PpPpb3/1B5P/1PQ3PK/R1B5 b - - 0 28,0,28,2,1,0,0,5,0,0,0,5,3,-2,-1
r2q1r1k/4bpp1/3p1P1p/p7/PpPp4/1B5P/1Pb3PK/R1B5 w - - 0 29,1,29,0,-1,0,0,-5,-9,0,0,-2,-3,-6,1
r2q1r1k/4bpp1/3p1P1p/p7/PpPp4/1B5P/1Pb3P1/R1B4K b - - 1 29,0,29,2,1,0,0,5,9,0,0,2,3,6,0
r2q1r1k/4bpp1/5P1p/p2p4/PpPp4/1B5P/1Pb3P1/R1B4K w - - 0 30,1,30,0,-1,0,0,-5,-9,1,0,-4,-3,-7,0
r2q1r1k/4bpP1/7p/p2p4/PpPp4/1B5P/1Pb3P1/R1B4K b - - 0 30,0,30,2,0,0,0,5,9,-17,0,-7,-3,0,1
r2q1rk1/4bpP1/7p/p2p4/PpPp4/1B5P/1Pb3P1/R1B4K w - - 1 31,1,31,0,0,0,0,-5,-9,4,0,-6,-2,-7,0
r2q1Qk1/4bp2/7p/p2p4/PpPp4/1B5P/1Pb3P1/R1B4K b - - 0 31,0,31,2,1,0,0,0,0,-5,0,-6,-3,-6,0
r2q1bk1/5p2/7p/p2p4/PpPp4/1B5P/1Pb3P1/R1B4K w - - 0 32,1,32,0,-1,0,0,0,-9,0,0,-5,-1,-11,-1
r2q1bk1/5p2/7p/p2p2B1/PpPp4/1B5P/1Pb3P1/R6K b - - 1 32,0,32,2,1,0,0,0,9,1,0,1,-4,10,1
r4bk1/5p2/7p/p2p2q1/PpPp4/1B5P/1Pb3P1/R6K w - - 0 33,1,33,0,-1,0,-3,0,-9,0,0,-10,2,-16,-1
r4bk1/5p2/7p/p2p2q1/PpPp4/7P/BPb3P1/R6K b - - 1 33,0,33,2,1,0,3,0,9,0,0,11,0,16,1
r4b1k/5p2/7p/p2p2q1/PpPp4/7P/BPb3P1/R6K w - - 2 34,1,34,0,-1,0,-3,0,-9,0,0,-11,0,-17,-1
r4b1k/5p2/7p/p2p2q1/PpPp4/7P/BPb3P1/5R1K b - - 3 34,0,34,2,1,0,3,0,9,0,0,11,-6,17,1
r4b1k/5p2/7p/p2p2q1/PpP5/3p3P/BPb3P1/5R1K w - - 0 35,1,35,0,-1,0,-3,0,-9,-1,0,-6,6,-17,-1
r4b1k/5p2/7p/p2p2q1/PpP4P/3p4/BPb3P1/5R1K b - - 0 35,0,35,2,1,0,3,0,9,0,0,6,-6,17,1
r4b1k/5p2/7p/p2p4/PpP4q/3p4/BPb3P1/5R1K w - - 0 36,1,36,0,-2,0,-3,0,-9,-7,0,-8,-6,-16,-2
r4b1k/5p2/7p/p2p4/PpP4q/3p4/BPb3P1/5RK1 b - - 1 36,0,36,2,2,0,3,0,9,2,0,6,-5,16,3
r6k/5p2/7p/p1bp4/PpP4q/3p4/BPb3P1/5RK1 w - - 2 37,1,37,0,-2,0,-3,0,-9,-7,0,-13,-7,-16,-3
r6k/5p2/7p/p1bp4/PpP4q/3p4/BPb2RP1/6K1 b - - 3 37,0,37,2,2,0,3,0,9,3,0,10,8,15,2
r6k/5p2/7p/p1bp4/PpP4q/8/BPbp1RP1/6K1 w - - 0 38,1,38,0,-2,0,-3,0,-9,-6,0,-15,-8,-15,-2
r6k/5p2/7p/p1bp4/PpP4q/1P6/B1bp1RP1/6K1 b - - 0 38,0,38,2,2,0,3,0,9,6,0,15,8,15,2
r6k/5p2/7p/p1bp4/PpP1b2q/1P6/B2p1RP1/6K1 w - - 1 39,1,39,0,-2,0,-3,0,-9,-6,0,-15,-8,-12,-2
r6k/5p2/7p/p1bp4/PpP1b2q/1P6/3p1RP1/1B4K1 b - - 2 39,0,39,2,2,0,3,0,9,6,0,12,8,12,2
r6k/5p2/7p/p2p4/PpP1b2q/1P6/3p1bP1/1B4K1 w - - 0 40,1,40,0,-2,0,-3,-5,-9,-9,0,-16,-8,-11,-2
r6k/5p2/7p/p2p4/PpP1b2q/1P6/3p1bP1/1B3K2 b - - 1 40,0,40,2,2,0,3,5,9,5,0,12,8,11,2
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,0,1,0,0,0,0,0,0,1,-1,-5,0,-2,-1
rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,1,2,2,0,0,0,0,0,0,0,0,0,-2,0
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,0,2,0,0,0,0,0,0,1,-1,-5,0,-2,-1
rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,1,3,2,0,0,0,0,0,0,1,8,0,-1,1
rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,0,3,0,0,0,0,0,0,1,0,-8,0,-2,-1
rnbqkb1r/pp1p1ppp/4pn2/2p5/3PP3/2P5/PP3PPP/RNBQKBNR w KQkq - 1 4,1,4,2,0,0,0,0,0,1,-2,8,-1,5,1
rnbqkb1r/pp1p1ppp/4pn2/2p3B1/3PP3/2P5/PP3PPP/RN1QKBNR b KQkq - 2 4,0,4,0,0,0,0,0,0,-2,2,-10,1,-6,-1
rnb1kb1r/pp1p1ppp/1q2pn2/2p3B1/3PP3/2P5/PP3PPP/RN1QKBNR w KQkq - 3 5,1,5,2,0,0,0,0,0,4,-2,10,-1,0,0
rnb1kb1r/pp1p1ppp/1q2pn2/2p1P1B1/3P4/2P5/PP3PPP/RN1QKBNR b KQkq - 0 5,0,5,0,0,0,0,0,0,-5,2,-10,1,0,0
rnb1kb1r/pp1p1pp1/1q2pn1p/2p1P1B1/3P4/2P5/PP3PPP/RN1QKBNR w KQkq - 0 6,1,6,2,0,0,0,0,0,5,-3,10,-2,0,0
rnb1kb1r/pp1p1pp1/1q2pn1p/2p1P3/3P3B/2P5/PP3PPP/RN1QKBNR b KQkq - 1 6,0,6,0,0,0,0,0,0,-4,3,-6,2,0,0
rnb1kb1r/pp1p1pp1/1q2p2p/2p1P3/3Pn2B/2P5/PP3PPP/RN1QKBNR w KQkq - 2 7,1,7,2,0,0,0,0,0,1,-4,8,-2,0,1
rnb1kb1r/pp1p1pp1/1q2p2p/2p1P3/3Pn2B/2PB4/PP3PPP/RN1QK1NR b KQkq - 3 7,0,7,0,0,0,0,0,0,-1,4,-10,2,1,-2
rnb1kb1r/pp1p1pp1/4p2p/2p1P3/3Pn2B/2PB4/Pq3PPP/RN1QK1NR w KQkq - 0 8,1,8,2,-1,0,0,0,0,-3,-4,10,-2,-5,1
rnb1kb1r/pp1p1pp1/4p2p/2p1P3/3Pn2B/2PB4/Pq2NPPP/RN1QK2R b KQkq - 1 8,0,8,0,1,0,0,0,0,3,3,-8,0,8,-2
rnb1kb1r/pp3pp1/4p2p/2ppP3/3Pn2B/2PB4/Pq2NPPP/RN1QK2R w KQkq d6 0 9,1,9,2,-1,0,0,0,0,-1,-4,7,0,-8,1
rnb1kb1r/pp3pp1/3Pp2p/2p5/3Pn2B/2PB4/Pq2NPPP/RN1QK2R b KQkq - 0 9,0,9,0,0,0,0,0,0,1,4,-7,0,8,-1
rnb1kb1r/pp3pp1/3Pp2p/2p5/3Pn2B/2PB4/P3NPPP/qN1QK2R w Kkq - 0 10,1,10,2,0,0,0,-5,0,-1,-4,7,0,1,1
rnb1kb1r/pp3pp1/3Pp2p/2p5/3PB2B/2P5/P3NPPP/qN1QK2R b Kkq - 0 10,0,10,0,0,-3,0,5,0,1,-3,-11,0,-2,-2
rnb1kb1r/pp3pp1/3Pp2p/2p5/3PB2B/2P5/Pq2NPPP/1N1QK2R w Kkq - 1 11,1,11,2,0,3,0,-5,0,-1,3,11,0,-7,1
rnb1kb1r/pp3pp1/3Pp2p/2p5/3PB2B/2P5/Pq2NPPP/1N1Q1RK1 b kq - 2 11,0,11,0,0,-3,0,5,0,1,-2,-11,1,6,0
rnb1kb1r/pp3pp1/1q1Pp2p/2p5/3PB2B/2P5/P3NPPP/1N1Q1RK1 w kq - 3 12,1,12,2,0,3,0,-5,0,1,2,11,-1,-4,0
rnb1kb1r/pp3pp1/1q1Pp2p/2pP4/4B2B/2P5/P3NPPP/1N1Q1RK1 b kq - 0 12,0,12,0,0,-3,0,5,0,0,-3,-8,1,3,0
rnb1k2r/pp3pp1/1q1bp2p/2pP4/4B2B/2P5/P3NPPP/1N1Q1RK1 w kq - 0 13,1,13,2,-1,3,0,-5,0,-1,3,3,-2,-2,-2
rnb1k2r/pp3pp1/1q1bp2p/2pP4/4B2B/2P5/P3NPPP/1N1QR1K1 b kq - 1 13,0,13,0,1,-3,0,5,0,1,-3,-3,2,3,1
rnb1k2r/pp3pp1/1q1b3p/2pPp3/4B2B/2P5/P3NPPP/1N1QR1K1 w kq - 0 14,1,14,2,-1,3,0,-5,0,0,3,3,-2,-3,-1
rnb1k2r/pp3pp1/1q1b3p/2pPp3/4B2B/2P3N1/P4PPP/1N1QR1K1 b kq - 1 14,0,14,0,1,-3,0,5,0,2,-4,-2,0,-1,1
rnb1k2r/pp3p2/1q1b3p/2pPp1p1/4B2B/2P3N1/P4PPP/1N1QR1K1 w kq - 0 15,1,15,2,-1,3,0,-5,0,-2,4,-1,0,1,-3
