board,turn,move_num,result
2r2rk1/1p2pp1p/pBn2np1/3q1P2/5Q2/8/1P1R2PP/1K5R b - - 0 24,0,24,2
2r2rk1/1p2pp1p/pBn2np1/1q3P2/5Q2/8/1P1R2PP/1K5R w - - 1 25,1,25,0
2r2rk1/1p2pp1p/pBn2np1/1q3P2/8/8/1P1R1QPP/1K5R b - - 2 25,0,25,2
2r2rk1/1p2pp1p/pBn3p1/1q3P2/4n3/8/1P1R1QPP/1K5R w - - 3 26,1,26,0
2rR1rk1/1p2pp1p/pBn3p1/1q3P2/4n3/8/1P3QPP/1K5R b - - 4 26,0,26,2
2rr2k1/1p2pp1p/pBn3p1/1q3P2/4n3/8/1P3QPP/1K5R w - - 0 27,1,27,0
2rr2k1/1p2pp1p/pBn3p1/1q3P2/4n2Q/8/1P4PP/1K5R b - - 1 27,0,27,2
2rr2k1/1p2pp1p/pqn3p1/5P2/4n2Q/8/1P4PP/1K5R w - - 0 28,1,28,0
2rr2k1/1p2pp1p/pqn3pQ/5P2/4n3/8/1P4PP/1K5R b - - 1 28,0,28,2
2r3k1/1p2pp1p/pqn3pQ/3r1P2/4n3/8/1P4PP/1K5R w - - 2 29,1,29,0
2r3k1/1p2pp1p/pqn3pQ/3r1P2/4n1P1/8/1P5P/1K5R b - - 0 29,0,29,2
2r3k1/1p2pp1p/pqn3pQ/3r1P2/6P1/2n5/1P5P/1K5R w - - 1 30,1,30,0
2r3k1/1p2pp1p/pqn3pQ/3r1P2/6P1/2n5/1PK4P/7R b - - 2 30,0,30,2
2r3k1/1p2pp1p/pqn3pQ/3r1P2/n5P1/8/1PK4P/7R w - - 3 31,1,31,0
2r3k1/1p2pp1Q/pqn3p1/3r1P2/n5P1/8/1PK4P/7R b - - 0 31,0,31,2
2r5/1p2pp1k/pqn3p1/3r1P2/n5P1/8/1PK4P/7R w - - 0 32,1,32,0
2r5/1p2pp1k/pqn3p1/3r1P2/nP4P1/8/2K4P/7R b - - 0 32,0,32,2
