board,turn,move_num,result
r1br2k1/ppp1qpN1/2P4p/6p1/3Q4/4p2P/PPP2PP1/R3KB1R w KQ - 2 17,1,17,2
r1br2k1/ppp1qpN1/2P4p/6p1/8/2Q1p2P/PPP2PP1/R3KB1R b KQ - 3 17,0,17,0
r1br2k1/ppp1qpN1/2P5/6pp/8/2Q1p2P/PPP2PP1/R3KB1R w KQ - 0 18,1,18,2
r1br2k1/ppp1qpN1/2P5/6pp/8/2Q1P2P/PPP3P1/R3KB1R b KQ - 0 18,0,18,0
r1br2k1/ppp1qpN1/2P5/7p/6p1/2Q1P2P/PPP3P1/R3KB1R w KQ - 0 19,1,19,2
r1br2k1/ppp1qpN1/2P5/7p/6p1/2Q1P2P/PPP1B1P1/R3K2R b KQ - 1 19,0,19,0
r1br2k1/ppp2pN1/2P5/7p/6pq/2Q1P2P/PPP1B1P1/R3K2R w KQ - 2 20,1,20,2
r1br2k1/ppp2pN1/2P5/7p/6pq/2Q1P2P/PPP1B1P1/R4K1R b - - 3 20,0,20,0
r1br2k1/p1p2pN1/1pP5/7p/6pq/2Q1P2P/PPP1B1P1/R4K1R w - - 0 21,1,21,2
r1br2k1/p1p2pN1/1pP5/4Q2p/6pq/4P2P/PPP1B1P1/R4K1R b - - 1 21,0,21,0
r2r2k1/p1p2pN1/bpP5/4Q2p/6pq/4P2P/PPP1B1P1/R4K1R w - - 2 22,1,22,2
r2r2k1/p1p2pN1/BpP5/4Q2p/6pq/4P2P/PPP3P1/R4K1R b - - 0 22,0,22,0
r5k1/p1p2pN1/BpP5/4Q2p/6pq/4P2P/PPPr2P1/R4K1R w - - 1 23,1,23,2
r5k1/p1p2pN1/1pP5/4Q2p/6pq/4P2P/PPPrB1P1/R4K1R b - - 2 23,0,23,0
r2q2k1/p1p2pN1/1pP5/4Q2p/6p1/4P2P/PPPrB1P1/R4K1R w - - 3 24,1,24,2
r2q2k1/p1p2p2/1pP5/4Q2N/6p1/4P2P/PPPrB1P1/R4K1R b - - 0 24,0,24,0
r2q1k2/p1p2p2/1pP5/4Q2N/6p1/4P2P/PPPrB1P1/R4K1R w - - 1 25,1,25,2
r2q1k2/p1p2p2/1pP5/7N/5Qp1/4P2P/PPPrB1P1/R4K1R b - - 2 25,0,25,0
r2q1k2/p1p2p2/1pP5/7N/5Qp1/4P2P/PPr1B1P1/R4K1R w - - 0 26,1,26,2
r2q1k2/p1p2p2/1pP5/7N/1Q4p1/4P2P/PPr1B1P1/R4K1R b - - 1 26,0,26,0
r2q2k1/p1p2p2/1pP5/7N/1Q4p1/4P2P/PPr1B1P1/R4K1R w - - 2 27,1,27,2
r2q2k1/p1p2p2/1pP5/7N/1Q4P1/4P3/PPr1B1P1/R4K1R b - - 0 27,0,27,0
1r1q2k1/p1p2p2/1pP5/7N/1Q4P1/4P3/PPr1B1P1/R4K1R w - - 1 28,1,28,2
1r1q2k1/p1p2p2/1pP5/7N/1Q4P1/4P3/PPr1B1P1/3R1K1R b - - 2 28,0,28,0
1r4k1/p1p2p2/1pP5/7N/1Q4P1/4P3/PPr1B1P1/3q1K1R w - - 0 29,1,29,2
1r4k1/p1p2p2/1pP5/7N/1Q4P1/4P3/PPr3P1/3B1K1R b - - 0 29,0,29,0
1r4k1/p1p2p2/1pP5/7N/1Q4P1/4P3/PP3rP1/3B1K1R w - - 1 30,1,30,2
1r4k1/p1p2p2/1pP5/7N/1Q4P1/4P3/PP3KP1/3B3R b - - 0 30,0,30,0
1r4k1/2p2p2/1pP5/p6N/1Q4P1/4P3/PP3KP1/3B3R w - - 0 31,1,31,2
1r4k1/2p1Qp2/1pP5/p6N/6P1/4P3/PP3KP1/3B3R b - - 1 31,0,31,0
r5k1/2p1Qp2/1pP5/p6N/6P1/4P3/PP3KP1/3B3R w - - 2 32,1,32,2
r5k1/2p1Qp2/1pP2N2/p7/6P1/4P3/PP3KP1/3B3R b - - 3 32,0,32,0
r7/2p1Qpk1/1pP2N2/p7/6P1/4P3/PP3KP1/3B3R w - - 4 33,1,33,2
r7/2pNQpk1/1pP5/p7/6P1/4P3/PP3KP1/3B3R b - - 5 33,0,33,0
r7/2pNQp2/1pP3k1/p7/6P1/4P3/PP3KP1/3B3R w - - 6 34,1,34,2
r7/2p1Qp2/1pP3k1/p3N3/6P1/4P3/PP3KP1/3B3R b - - 7 34,0,34,0
r7/2p1Qpk1/1pP5/p3N3/6P1/4P3/PP3KP1/3B3R w - - 8 35,1,35,2
r7/2pNQpk1/1pP5/p7/6P1/4P3/PP3KP1/3B3R b - - 9 35,0,35,0
r7/2pNQp2/1pP3k1/p7/6P1/4P3/PP3KP1/3B3R w - - 10 36,1,36,2
r7/2p1Qp2/1pP3k1/p3N3/6P1/4P3/PP3KP1/3B3R b - - 11 36,0,36,0
r7/2p1Qpk1/1pP5/p3N3/6P1/4P3/PP3KP1/3B3R w - - 12 37,1,37,2
r7/2p2Qk1/1pP5/p3N3/6P1/4P3/PP3KP1/3B3R b - - 0 37,0,37,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,0,1,2
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,1,2,0
rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,0,2,2
rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,1,3,0
rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/8/PPP1NPPP/RNBQKB1R b KQkq - 1 3,0,3,2
rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/8/PPP1NPPP/RNBQKB1R w KQkq - 0 4,1,4,0
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP1NPPP/RNBQKB1R b KQkq - 0 4,0,4,2
rnb1kbnr/pp3ppp/1q2p3/2ppP3/3P4/8/PPP1NPPP/RNBQKB1R w KQkq - 1 5,1,5,0
rnb1kbnr/pp3ppp/1q2p3/2ppP3/3P4/N7/PPP1NPPP/R1BQKB1R b KQkq - 2 5,0,5,2
rn2kbnr/pp1b1ppp/1q2p3/2ppP3/3P4/N7/PPP1NPPP/R1BQKB1R w KQkq - 3 6,1,6,0
rn2kbnr/pp1b1ppp/1q2p3/2ppP3/3P4/N5P1/PPP1NP1P/R1BQKB1R b KQkq - 0 6,0,6,2
r3kbnr/pp1b1ppp/1qn1p3/2ppP3/3P4/N5P1/PPP1NP1P/R1BQKB1R w KQkq - 1 7,1,7,0
r3kbnr/pp1b1ppp/1qn1p3/2ppP3/3P4/N1P3P1/PP2NP1P/R1BQKB1R b KQkq - 0 7,0,7,2
2r1kbnr/pp1b1ppp/1qn1p3/2ppP3/3P4/N1P3P1/PP2NP1P/R1BQKB1R w KQk - 1 8,1,8,0
2r1kbnr/pp1b1ppp/1qn1p3/2ppP3/3P4/2P3P1/PPN1NP1P/R1BQKB1R b KQk - 2 8,0,8,2
2r1kbnr/pp1b1ppp/1qn1p3/3pP3/3p4/2P3P1/PPN1NP1P/R1BQKB1R w KQk - 0 9,1,9,0
2r1kbnr/pp1b1ppp/1qn1p3/3pP3/3P4/6P1/PPN1NP1P/R1BQKB1R b KQk - 0 9,0,9,2
2r1kbnr/pp1b1ppp/1q2p3/3pP3/1n1P4/6P1/PPN1NP1P/R1BQKB1R w KQk - 1 10,1,10,0
2r1kbnr/pp1b1ppp/1q2p3/3pP3/1N1P4/6P1/PP2NP1P/R1BQKB1R b KQk - 0 10,0,10,2
2r1kbnr/pp1b1ppp/4p3/q2pP3/1N1P4/6P1/PP2NP1P/R1BQKB1R w KQk - 1 11,1,11,0
2r1kbnr/pp1b1ppp/4p3/q2pP3/1N1P4/P5P1/1P2NP1P/R1BQKB1R b KQk - 0 11,0,11,2
2r1k1nr/pp1b1ppp/4p3/q2pP3/1b1P4/P5P1/1P2NP1P/R1BQKB1R w KQk - 0 12,1,12,0
2r1k1nr/pp1b1ppp/4p3/q2pP3/1P1P4/6P1/1P2NP1P/R1BQKB1R b KQk - 0 12,0,12,2
2r1k1nr/pp1b1ppp/4p3/3pP3/1P1P4/6P1/1P2NP1P/q1BQKB1R w Kk - 0 13,1,13,0
2r1k1nr/pp1b1ppp/4p3/3pP3/1P1P4/2N3P1/1P3P1P/q1BQKB1R b Kk - 1 13,0,13,2
2r1k1nr/pp3ppp/4p3/3pP3/bP1P4/2N3P1/1P3P1P/q1BQKB1R w Kk - 2 14,1,14,0
2r1k1nr/pp3ppp/4p3/1B1pP3/bP1P4/2N3P1/1P3P1P/q1BQK2R b Kk - 3 14,0,14,2
2r1k1nr/pp3ppp/4p3/1b1pP3/1P1P4/2N3P1/1P3P1P/q1BQK2R w Kk - 0 15,1,15,0
2r1k1nr/pp3ppp/4p3/1N1pP3/1P1P4/6P1/1P3P1P/q1BQK2R b Kk - 0 15,0,15,2
2r1k1nr/pp3ppp/4p3/1N1pP3/1P1P4/6P1/1P3P1P/2qQK2R w Kk - 0 16,1,16,0
2r1k1nr/pp3ppp/3Np3/3pP3/1P1P4/6P1/1P3P1P/2qQK2R b Kk - 1 16,0,16,2
2r3nr/pp1k1ppp/3Np3/3pP3/1P1P4/6P1/1P3P1P/2qQK2R w K - 2 17,1,17,0
2r3nr/pN1k1ppp/4p3/3pP3/1P1P4/6P1/1P3P1P/2qQK2R b K - 0 17,0,17,2
2r3nr/pN1k1ppp/4p3/3pP3/1P1P4/6P1/1P3P1P/3qK2R w K - 0 18,1,18,0
2r3nr/pN1k1ppp/4p3/3pP3/1P1P4/6P1/1P3P1P/3K3R b - - 0 18,0,18,2
2r3nr/pN2kppp/4p3/3pP3/1P1P4/6P1/1P3P1P/3K3R w - - 1 19,1,19,0
2r3nr/pN2kppp/4p3/3pP3/1P1P4/6P1/1P1K1P1P/7R b - - 2 19,0,19,2
2r3nr/1N2kppp/p3p3/3pP3/1P1P4/6P1/1P1K1P1P/7R w - - 0 20,1,20,0
2r3nr/1N2kppp/p3p3/1P1pP3/3P4/6P1/1P1K1P1P/7R b - - 0 20,0,20,2
6nr/1Nr1kppp/p3p3/1P1pP3/3P4/6P1/1P1K1P1P/7R w - - 1 21,1,21,0
6nr/2r1kppp/p2Np3/1P1pP3/3P4/6P1/1P1K1P1P/7R b - - 2 21,0,21,2
6nr/3rkppp/p2Np3/1P1pP3/3P4/6P1/1P1K1P1P/7R w - - 3 22,1,22,0
2N3nr/3rkppp/p3p3/1P1pP3/3P4/6P1/1P1K1P1P/7R b - - 4 22,0,22,2
2Nk2nr/3r1ppp/p3p3/1P1pP3/3P4/6P1/1P1K1P1P/7R w - - 5 23,1,23,0
3k2nr/3r1ppp/p2Np3/1P1pP3/3P4/6P1/1P1K1P1P/7R b - - 6 23,0,23,2
6nr/3rkppp/p2Np3/1P1pP3/3P4/6P1/1P1K1P1P/7R w - - 7 24,1,24,0
2N3nr/3rkppp/p3p3/1P1pP3/3P4/6P1/1P1K1P1P/7R b - - 8 24,0,24,2
2Nk2nr/3r1ppp/p3p3/1P1pP3/3P4/6P1/1P1K1P1P/7R w - - 9 25,1,25,0
2Nk2nr/3r1ppp/P3p3/3pP3/3P4/6P1/1P1K1P1P/7R b - - 0 25,0,25,2
2k3nr/3r1ppp/P3p3/3pP3/3P4/6P1/1P1K1P1P/7R w - - 0 26,1,26,0
2k3nr/3r1ppp/P3p3/3pP3/3P1P2/6P1/1P1K3P/7R b - - 0 26,0,26,2
2k3nr/2r2ppp/P3p3/3pP3/3P1P2/6P1/1P1K3P/7R w - - 1 27,1,27,0
2k3nr/2r2ppp/P3p3/3pP3/3P1P2/6P1/1P1K3P/R7 b - - 2 27,0,27,2
2k4r/2r2ppp/P3p2n/3pP3/3P1P2/6P1/1P1K3P/R7 w - - 3 28,1,28,0
2k4r/2r2ppp/P3p2n/3pP3/1P1P1P2/6P1/3K3P/R7 b - - 0 28,0,28,2
2k4r/2r2ppp/P3p3/3pPn2/1P1P1P2/6P1/3K3P/R7 w - - 1 29,1,29,0
2k4r/P1r2ppp/4p3/3pPn2/1P1P1P2/6P1/3K3P/R7 b - - 0 29,0,29,2
7r/Pkr2ppp/4p3/3pPn2/1P1P1P2/6P1/3K3P/R7 w - - 1 30,1,30,0
7r/Pkr2ppp/4p3/1P1pPn2/3P1P2/6P1/3K3P/R7 b - - 0 30,0,30,2
k6r/P1r2ppp/4p3/1P1pPn2/3P1P2/6P1/3K3P/R7 w - - 1 31,1,31,0
k6r/P1r2ppp/4p3/1P1pPn2/3P1P2/6P1/3K3P/1R6 b - - 2 31,0,31,2
k6r/P2r1ppp/4p3/1P1pPn2/3P1P2/6P1/3K3P/1R6 w - - 3 32,1,32,0
k6r/P2r1ppp/4p3/1P1pPn2/3P1P2/6PP/3K4/1R6 b - - 0 32,0,32,2
k6r/Pr3ppp/4p3/1P1pPn2/3P1P2/6PP/3K4/1R6 w - - 1 33,1,33,0
k6r/Pr3ppp/4p3/1P1pPn2/3P1P2/2K3PP/8/1R6 b - - 2 33,0,33,2
k6r/Pr3pp1/4p3/1P1pPn1p/3P1P2/2K3PP/8/1R6 w - - 0 34,1,34,0
k6r/Pr3pp1/4p3/1P1pPn1p/1K1P1P2/6PP/8/1R6 b - - 1 34,0,34,2
k1r5/Pr3pp1/4p3/1P1pPn1p/1K1P1P2/6PP/8/1R6 w - - 2 35,1,35,0
k1r5/Pr3pp1/4p3/KP1pPn1p/3P1P2/6PP/8/1R6 b - - 3 35,0,35,2
k1r5/Pr3p2/4p1p1/KP1pPn1p/3P1P2/6PP/8/1R6 w - - 0 36,1,36,0
k1r5/Pr3p2/1P2p1p1/K2pPn1p/3P1P2/6PP/8/1R6 b - - 0 36,0,36,2
k1r5/Pr3p2/1P2p3/K2pPnpp/3P1P2/6PP/8/1R6 w - - 0 37,1,37,0
k1r5/Pr3p2/1P2p3/K2pPnpp/1R1P1P2/6PP/8/8 b - - 1 37,0,37,2
k7/Pr3p2/1P2p3/K2pPnpp/1R1P1P2/2r3PP/8/8 w - - 2 38,1,38,0
k7/Pr3p2/1P2p3/1K1pPnpp/1R1P1P2/2r3PP/8/8 b - - 3 38,0,38,2
k7/Pr2np2/1P2p3/1K1pP1pp/1R1P1P2/2r3PP/8/8 w - - 4 39,1,39,0
k7/Pr2np2/1P2p3/1K1pP1pp/1R1P1PP1/2r4P/8/8 b - - 0 39,0,39,2
k1n5/Pr3p2/1P2p3/1K1pP1pp/1R1P1PP1/2r4P/8/8 w - - 1 40,1,40,0
k1n5/Pr3p2/1P2p3/K2pP1pp/1R1P1PP1/2r4P/8/8 b - - 2 40,0,40,2
k1n5/Pr3p2/1P2p3/K2pP1p1/1R1P1Pp1/2r4P/8/8 w - - 0 41,1,41,0
k1n5/Pr3p2/1P2p3/K2pP1p1/1R1P1PP1/2r5/8/8 b - - 0 41,0,41,2
k1n5/Pr3p2/1P2p3/K2pP3/1R1P1pP1/2r5/8/8 w - - 0 42,1,42,0
k1n5/Pr3p2/1P2p3/3pP3/KR1P1pP1/2r5/8/8 b - - 1 42,0,42,2
k1n5/Pr3p2/1P2p3/3pP3/KR1P1pP1/8/8/2r5 w - - 2 43,1,43,0
k1n5/Pr3p2/1P2p3/3pP3/1R1P1pP1/K7/8/2r5 b - - 3 43,0,43,2
k7/Pr3p2/1n2p3/3pP3/1R1P1pP1/K7/8/2r5 w - - 0 44,1,44,0
k7/Pr3p2/1n2p3/3pP3/1R1P1pP1/8/1K6/2r5 b - - 1 44,0,44,2
k7/Pr3p2/1n2p3/3pP3/1R1P1pP1/8/1K6/7r w - - 2 45,1,45,0
k7/Pr3p2/1n2p3/3pP3/1R1P1pP1/1K6/8/7r b - - 3 45,0,45,2
k7/Pr3p2/1n2p3/3pP3/1R1P1pP1/1K6/8/2r5 w - - 4 46,1,46,0
k7/Pr3p2/1n2p3/3pP1P1/1R1P1p2/1K6/8/2r5 b - - 0 46,0,46,2
k7/Pr3p2/1n2p3/3pP1P1/1R1P1p2/1K6/8/7r w - - 1 47,1,47,0
k7/Pr3p2/1n2p3/3pP1P1/1R1P1p2/2K5/8/7r b - - 2 47,0,47,2
k7/Pr3p1r/1n2p3/3pP1P1/1R1P1p2/2K5/8/8 w - - 3 48,1,48,0
k7/Pr3p1r/1n2p3/1R1pP1P1/3P1p2/2K5/8/8 b - - 4 48,0,48,2
k7/Pr3p1r/1n2p3/1R1pP1P1/3P4/2K2p2/8/8 w - - 0 49,1,49,0
k7/Pr3p1r/1n2p3/3pP1P1/1R1P4/2K2p2/8/8 b - - 1 49,0,49,2
k7/Pr3p1r/1n2p3/3pP1P1/1R1P4/2K5/5p2/8 w - - 0 50,1,50,0
k7/Pr3p1r/1n2p3/3pP1P1/1R1P4/8/3K1p2/8 b - - 1 50,0,50,2
k7/Pr3p1r/1n2p3/3pP1P1/1R1P4/8/3K4/5q2 w - - 0 51,1,51,0
k7/Pr3p1r/1n2p3/3pP1P1/1R1P4/4K3/8/5q2 b - - 1 51,0,51,2
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/4K2r/8/5q2 w - - 2 52,1,52,0
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/7r/3K4/5q2 b - - 3 52,0,52,2
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/7r/3K1q2/8 w - - 4 53,1,53,0
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/7r/5q2/3K4 b - - 5 53,0,53,2
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/7r/8/3K1q2 w - - 6 54,1,54,0
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/7r/2K5/5q2 b - - 7 54,0,54,2
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/7r/2K3q1/8 w - - 8 55,1,55,0
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/7r/6q1/3K4 b - - 9 55,0,55,2
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/7r/8/3K1q2 w - - 10 56,1,56,0
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/7r/2K5/5q2 b - - 11 56,0,56,2
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/7r/2K3q1/8 w - - 12 57,1,57,0
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/7r/6q1/3K4 b - - 13 57,0,57,2
k7/Pr3p2/1n2p3/3pP1P1/1R1P4/8/6q1/3K3r w - - 14 58,1,58,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0,1,1
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,1,2,1
rnbqkbnr/pppp1ppp/4p3/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,0,2,1
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,1,3,1
rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,0,3,1
rnbqkbnr/pp1p1ppp/4p3/8/3pP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,1,4,1
rnbqkbnr/pp1p1ppp/4p3/8/3pP3/8/PPP2PPP/RNBQKBNR b KQkq - 1 4,0,4,1
rnbqkbnr/pp1p1ppp/8/4p3/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 5,1,5,1
rnbqkbnr/pp1p1ppp/8/4p3/3pP3/3B4/PPP2PPP/RNBQK1NR b KQkq - 1 5,0,5,1
rnbqkb1r/pp1p1ppp/5n2/4p3/3pP3/3B4/PPP2PPP/RNBQK1NR w KQkq - 2 6,1,6,1
rnbqkb1r/pp1p1ppp/5n2/4p3/3pPP2/3B4/PPP3PP/RNBQK1NR b KQkq - 0 6,0,6,1
rnbqkb1r/pp3ppp/5n2/3pp3/3pPP2/3B4/PPP3PP/RNBQK1NR w KQkq - 0 7,1,7,1
rnbqkb1r/pp3ppp/5n2/3pP3/3pP3/3B4/PPP3PP/RNBQK1NR b KQkq - 0 7,0,7,1
rnbqkb1r/pp3ppp/8/3pP3/3pn3/3B4/PPP3PP/RNBQK1NR w KQkq - 0 8,1,8,1
rnbqkb1r/pp3ppp/8/3pP3/3pn3/3B1N2/PPP3PP/RNBQK2R b KQkq - 1 8,0,8,1
rnbqk2r/pp3ppp/8/3pP3/1b1pn3/3B1N2/PPP3PP/RNBQK2R w KQkq - 2 9,1,9,1
rnbqk2r/pp3ppp/8/3pP3/1b1pn3/3B1N2/PPPN2PP/R1BQK2R b KQkq - 3 9,0,9,1
rnbqk2r/pp4pp/8/3pPp2/1b1pn3/3B1N2/PPPN2PP/R1BQK2R w KQkq f6 0 10,1,10,1
rnbqk2r/pp4pp/5P2/3p4/1b1pn3/3B1N2/PPPN2PP/R1BQK2R b KQkq - 0 10,0,10,1
rnbqk2r/pp4pp/5n2/3p4/1b1p4/3B1N2/PPPN2PP/R1BQK2R w KQkq - 0 11,1,11,1
rnbqk2r/pp4pp/5n2/3p4/1b1p4/3B1N2/PPPN2PP/R1BQ1RK1 b kq - 1 11,0,11,1
r1bqk2r/pp4pp/2n2n2/3p4/1b1p4/3B1N2/PPPN2PP/R1BQ1RK1 w kq - 2 12,1,12,1
r1bqk2r/pp4pp/2n2n2/3p4/1b1p4/3B1N2/PPPN2PP/R1B1QRK1 b kq - 3 12,0,12,1
r1bqk2r/pp2b1pp/2n2n2/3p4/3p4/3B1N2/PPPN2PP/R1B1QRK1 w kq - 4 13,1,13,1
r1bqk2r/pp2b1pp/2n2n2/3p4/3p4/1N1B1N2/PPP3PP/R1B1QRK1 b kq - 5 13,0,13,1
r1b1k2r/pp2b1pp/1qn2n2/3p4/3p4/1N1B1N2/PPP3PP/R1B1QRK1 w kq - 6 14,1,14,1
r1b1k2r/pp2b1pp/1qn2n2/3p4/3p4/1N1B1N2/PPP3PP/R1B1QR1K b kq - 7 14,0,14,1
r3k2r/pp1bb1pp/1qn2n2/3p4/3p4/1N1B1N2/PPP3PP/R1B1QR1K w kq - 8 15,1,15,1
r3k2r/pp1bb1pp/1qn2n2/3pN3/3p4/1N1B4/PPP3PP/R1B1QR1K b kq - 9 15,0,15,1
r3k2r/pp1b2pp/1qn2n2/3pN3/1b1p4/1N1B4/PPP3PP/R1B1QR1K w kq - 10 16,1,16,1
r3k2r/pp1b2pp/1qn2n2/3pN3/1b1p4/1NPB4/PP4PP/R1B1QR1K b kq - 0 16,0,16,1
r3k2r/pp1b2pp/1q3n2/3pn3/1b1p4/1NPB4/PP4PP/R1B1QR1K w kq - 0 17,1,17,1
r3k2r/pp1b2pp/1q3n2/3pQ3/1b1p4/1NPB4/PP4PP/R1B2R1K b kq - 0 17,0,17,1
r3k2r/pp1bb1pp/1q3n2/3pQ3/3p4/1NPB4/PP4PP/R1B2R1K w kq - 1 18,1,18,1
r3k2r/pp1bb1pp/1q3n2/3pQ3/3p1B2/1NPB4/PP4PP/R4R1K b kq - 2 18,0,18,1
r3k2r/pp1bb1pp/4qn2/3pQ3/3p1B2/1NPB4/PP4PP/R4R1K w kq - 3 19,1,19,1
r3k2r/pp1bb1pp/4Qn2/3p4/3p1B2/1NPB4/PP4PP/R4R1K b kq - 0 19,0,19,1
r3k2r/pp1bb2p/4Qn2/3p2p1/3p1B2/1NPB4/PP4PP/R4R1K w kq - 0 20,1,20,1
r3k2r/pp1bQ2p/5n2/3p2p1/3p1B2/1NPB4/PP4PP/R4R1K b kq - 0 20,0,20,1
r6r/pp1bk2p/5n2/3p2p1/3p1B2/1NPB4/PP4PP/R4R1K w - - 0 21,1,21,1
r6r/pp1bk2p/5n2/3p2p1/3p1B2/1NPB4/PP4PP/4RR1K b - - 1 21,0,21,1
r6r/pp1b1k1p/5n2/3p2p1/3p1B2/1NPB4/PP4PP/4RR1K w - - 2 22,1,22,1
r6r/pp1b1k1p/5n2/3pB1p1/3p4/1NPB4/PP4PP/4RR1K b - - 3 22,0,22,1
r2r4/pp1b1k1p/5n2/3pB1p1/3p4/1NPB4/PP4PP/4RR1K w - - 4 23,1,23,1
r2r4/pp1b1k1p/5R2/3pB1p1/3p4/1NPB4/PP4PP/4R2K b - - 0 23,0,23,1
r2r2k1/pp1b3p/5R2/3pB1p1/3p4/1NPB4/PP4PP/4R2K w - - 1 24,1,24,1
r2r2k1/pp1b3p/5R2/3p2p1/3B4/1NPB4/PP4PP/4R2K b - - 0 24,0,24,1
r2r2k1/pp1b3p/5R2/3p4/3B2p1/1NPB4/PP4PP/4R2K w - - 0 25,1,25,1
r2r2k1/pp1b3p/8/3p4/3B2p1/1NPB4/PP4PP/4RR1K b - - 1 25,0,25,1
r3r1k1/pp1b3p/8/3p4/3B2p1/1NPB4/PP4PP/4RR1K w - - 2 26,1,26,1
r3r1k1/pp1b3p/8/3p4/3B2p1/1NPB4/PP4PP/4RRK1 b - - 3 26,0,26,1
r3r1k1/p2b3p/1p6/3p4/3B2p1/1NPB4/PP4PP/4RRK1 w - - 0 27,1,27,1
r3r1k1/p2b3p/1p6/3p4/3B2p1/1NPB4/PP4PP/R4RK1 b - - 1 27,0,27,1
r4rk1/p2b3p/1p6/3p4/3B2p1/1NPB4/PP4PP/R4RK1 w - - 2 28,1,28,1
r4rk1/p2b3p/1p6/3p4/3B2p1/1NPB4/PP4PP/4RRK1 b - - 3 28,0,28,1
3r1rk1/p2b3p/1p6/3p4/3B2p1/1NPB4/PP4PP/4RRK1 w - - 4 29,1,29,1
3r1rk1/p2b3p/1p6/3p4/2PB2p1/1N1B4/PP4PP/4RRK1 b - - 0 29,0,29,1
3r1rk1/3b3p/pp6/3p4/2PB2p1/1N1B4/PP4PP/4RRK1 w - - 0 30,1,30,1
3r1rk1/3b3p/pp6/2Pp4/3B2p1/1N1B4/PP4PP/4RRK1 b - - 0 30,0,30,1
3r2k1/3b3p/pp6/2Pp4/3B2p1/1N1B4/PP4PP/4RrK1 w - - 0 31,1,31,1
3r2k1/3b3p/pp6/2Pp4/3B2p1/1N6/PP4PP/4RBK1 b - - 0 31,0,31,1
3r2k1/3b3p/pp6/2Pp4/3B4/1N4p1/PP4PP/4RBK1 w - - 0 32,1,32,1
3r2k1/3b3p/Bp6/2Pp4/3B4/1N4p1/PP4PP/4R1K1 b - - 0 32,0,32,1
3r2k1/3b3p/B7/2pp4/3B4/1N4p1/PP4PP/4R1K1 w - - 0 33,1,33,1
3r2k1/3b3p/B7/2Bp4/8/1N4p1/PP4PP/4R1K1 b - - 0 33,0,33,1
3r2k1/3b3p/B7/2Bp4/8/1N6/PP4Pp/4R1K1 w - - 0 34,1,34,1
3r2k1/3b3p/B7/2Bp4/8/1N6/PP4Pp/4R2K b - - 1 34,0,34,1
3r2k1/7p/B7/2Bp1b2/8/1N6/PP4Pp/4R2K w - - 2 35,1,35,1
3r2k1/7p/B7/2Bp1b2/8/1N6/PP4PK/4R3 b - - 0 35,0,35,1
3r2k1/7p/B7/2Bp4/8/1N6/PPb3PK/4R3 w - - 1 36,1,36,1
3r2k1/7p/B7/3p4/3B4/1N6/PPb3PK/4R3 b - - 2 36,0,36,1
3r2k1/7p/B7/3p4/3Bb3/1N6/PP4PK/4R3 w - - 3 37,1,37,1
3r2k1/7p/8/3p4/3Bb3/1N6/PP4PK/4RB2 b - - 4 37,0,37,1
r5k1/7p/8/3p4/3Bb3/1N6/PP4PK/4RB2 w - - 5 38,1,38,1
r5k1/7p/8/3p4/3Bb3/1N6/PP4PK/R4B2 b - - 6 38,0,38,1
