board,turn,move_num,result,result_scaled,result_scaled_tempo
r5k1/1r1np2p/3p2p1/2pP1P2/P5n1/2P2NP1/RN3P1P/5K1R b - - 0 21,False,21,1,5.6953125,5.6953125
r5k1/1r1np2p/3p4/2pP1p2/P5n1/2P2NP1/RN3P1P/5K1R w - - 0 22,True,22,1,5.6953125,5.6953125
r5k1/1r1np2p/3p4/2pP1p2/P5n1/2P2NP1/RN3PKP/7R b - - 1 22,False,22,1,5.6953125,5.6953125
r5k1/1r2p2p/1n1p4/2pP1p2/P5n1/2P2NP1/RN3PKP/7R w - - 2 23,True,23,1,5.6953125,5.6953125
r5k1/1r2p2p/1n1p4/2pP1p2/P1P3n1/5NP1/RN3PKP/7R b - - 0 23,False,23,1,5.6953125,5.6953125
1r4k1/1r2p2p/1n1p4/2pP1p2/P1P3n1/5NP1/RN3PKP/7R w - - 1 24,True,24,1,5.6953125,5.6953125
1r4k1/1r2p2p/1n1p4/P1pP1p2/2P3n1/5NP1/RN3PKP/7R b - - 0 24,False,24,1,5.6953125,5.6953125
1r4k1/1r2p2p/3p4/P1pn1p2/2P3n1/5NP1/RN3PKP/7R w - - 0 25,True,25,1,5.6953125,5.6953125
1r4k1/1r2p2p/3p4/P1pn1p2/2P3n1/3N1NP1/R4PKP/7R b - - 1 25,False,25,1,5.6953125,5.6953125
1r4k1/1rn1p2p/3p4/P1p2p2/2P3n1/3N1NP1/R4PKP/7R w - - 2 26,True,26,1,5.6953125,5.6953125
1r4k1/1rn1p2p/3p4/P1p2p2/2P3n1/3N1NP1/R4PKP/5R2 b - - 3 26,False,26,1,5.6953125,5.6953125
1r4k1/1rn1p2p/3p1n2/P1p2p2/2P5/3N1NP1/R4PKP/5R2 w - - 4 27,True,27,1,5.6953125,5.6953125
1r4k1/1rn1p2p/3p1n2/P1p2p2/2P5/3N1NP1/R4PKP/4R3 b - - 5 27,False,27,1,5.6953125,5.6953125
1r3k2/1rn1p2p/3p1n2/P1p2p2/2P5/3N1NP1/R4PKP/4R3 w - - 6 28,True,28,1,5.6953125,5.6953125
1r3k2/1rn1p2p/3p1n2/P1p2p2/2P4N/3N2P1/R4PKP/4R3 b - - 7 28,False,28,1,5.6953125,5.6953125
1r3k2/1rn4p/3ppn2/P1p2p2/2P4N/3N2P1/R4PKP/4R3 w - - 0 29,True,29,1,5.6953125,5.6953125
1r3k2/1rn4p/3ppn2/P1p2p2/2P2N1N/6P1/R4PKP/4R3 b - - 1 29,False,29,1,5.6953125,5.6953125
